item_number,name_he,excel_name
"HP001-050M","מקדח יהלום לידיתן","HP001-050M"
"HP010-027M","מקדח יהלום לידיתן","HP010-027M"
"HP019-045C","מקדח יהלום לידיתן","HP019-045C"
"HP112-040M","מקדח יהלום לידיתן","HP112-040M"
"HP167-012LM","מקדח יהלום לידיתן","HP167-012LM"
"HP172-033M","מקדח יהלום לידיתן","HP172-033M"
"HP250-027M","מקדח יהלום לידיתן","HP250-027M"
"KITPLC","ערכת גומיות לזויתן לליטוש קומפוזיט עם בסיס עמיד באוטוקלאב","KITPLC"
"KITPLL","ערכת גומיות לזויתן לליטוש חרסינה ו- E-MAX  עם בסיס עמיד באוטוקלאב","KITPLL"
"KITPLU","ערכת גומיות לזויתן לליטוש מתכות ואמלגם  עם בסיס עמיד באוטוקלאב","KITPLU"
"KITPLZ","ערכת גומיות לזויתן לליטוש זירקוניה עם בסיס עמיד באוטוקלאב","KITPLZ"
"R04-350PS-514-220","דיסק דו-צדדי לעיבוד וחיתוך אקריל","R04 350PS-514-220"
"R04-355-504-220","דיסק דו-צדדי לעיבוד וחיתוך אקריל","R04 355-504-220"
"R04-355-514-220","דיסק לעיבוד וחיתוך אקריל","R04 355-514-220"
"R04-355-524-220","דיסק לעיבוד וחיתוך אקריל","R04 355-524-220"
"E164-018C","מקדח יהלום Endo לטורבינה - 5 יח","E164-018C"
"E165-014C","מקדח יהלום Endo לטורבינה - 5 יח עם ראש בטוח","E165-014LC"
"HP.CC0011740","CC001-040M  Curbide cutter - Medium Cross Cut","HP.CC0011740"
"HP.CC0011750","Curbide cutter - Medium Cross Cut","HP.CC0011750"
"HP.CC1751923","Curbide cutter - Medium Cross Cut","HP.CC1751923"
"HP.CC1941940","Curbide cutter - Medium Cross Cut","HP.CC1941940"
"HP.CC2001140","Curbide cutter - Extra Fine Cross Cut","HP.CC2001140"
"HP.CC2001450","Curbide cutter - Fine Cross Cut","HP.CC2001450"
"HP.CC2011460","Curbide cutter - Fine Cross Cut","HP.CC2011460"
"HP.CC2011960","Curbide cutter - Medium cross cut","HP.CC2011960"
"HP.CC2012260","Curbide cutter - Double Cut COarce","HP.CC2012260"
"HP.CC2431450","Curbide cutter - Fine cross cut","HP.CC2431450"
"HP.CC2571440","Curbide cutter - Fine Cross Cut","HP.CC2571440"
"HP.CC2741160","Curbide cutter - Extra Fine Cross Cut","HP.CC2741160"
"HP.CC2741950","Curbide cutter - Medium Cross Cut","HP.CC2741950"
"HP.CC2742260","Curbide cutter - Double Cut Coarse","HP.CC2742260"
"HP.CC2921440","Curbide cutter - Fine Cross Cut","HP.CC2921440"
"Z001-018ZRT","מקדח ZIRKONIT לחיתוך זירקוניה - יח5","Z001-018ADJ"
"Z001-022ADJ","מקדח ZIRKONIT לאיזון זירקוניה - יח5","Z001-022ADJ"
"Z141-012ZRT","מקדח ZIRKONIT לחיתוך זירקוניה - יח5","Z141-012ZRT"
"Z141-014ZRT","מקדח ZIRKONIT לחיתוך זירקוניה - יח5","Z141-014ZRT"
"Z198-018ADJ","מקדח ZIRKONIT לאיזון זירקוניה - יח5","Z198-018ZRT"
"Z198L-016ADJ","מקדח ZIRKONIT לאיזון זירקוניה - יח5","Z198L-016ADJ"
"Z225-018ADJ","מקדח ZIRKONIT לאיזון זירקוניה - יח5","Z225-018ADJ"
"Z246-014ADJ","מקדח ZIRKONIT לאיזון זירקוניה - יח5","Z246-014ADJ"
"Z257-023ADJ","מקדח ZIRKONIT לאיזון זירקוניה - יח5","Z257-023ADJ"
"Z276-031ADJ","מקדח ZIRKONIT לאיזון זירקוניה - יח5","Z276-031ADJ"
"Z277-023ADJ","מקדח ZIRKONIT לאיזון זירקוניה - יח5","Z277-023ADJ"
"Z298-021ADJ","מקדח ZIRKONIT לאיזון זירקוניה - יח5","Z298-021ADJ"
"Z540-010ADJ","מקדח ZIRKONIT לאיזון זירקוניה - יח5","Z540-010ADJ"
"HEATERS","סט גופי חימום לאוטוקלב","DZP KIT"
"HEATERS","סט גופי חימום לאוטוקלב","DCP KIT"
