id,item_number,name_he,excel_name,description_he,image_url,was_active
"19432d88-a38d-42ef-86a8-c4f93c0e9286","166-018C","מקדח יהלום - 5 יח","166-018","2 2 אורך פעיל - 10 מ""מ","","true"
"20dffa65-0869-4a97-96ab-004f448ab839","167-012C","מקדח יהלום - 5 יח","167-012","12 12 12 12 12 אורך פעיל - 11.5 מ""מ","","true"
"42eeb443-d4cc-495b-aa24-3ad46fe3a414","172-014C","מקדח יהלום - 5 יח","172 - 014","","","true"
"2792197c-c43c-4fd6-92e7-1fa5d7013cf2","172-016C","מקדח יהלום - 5 יח","172 - 016","","","true"
"f2459307-cc46-41dc-8cdd-058c75e38b85","172-018C","מקדח יהלום - 5 יח","172 - 018 C","","","true"
"14ae3861-8134-4142-9f3b-24db95ba5dad","173-012C","מקדח יהלום - 5 יח","173 - 012C","","","true"
"d97ce019-332f-469b-8881-319a70f59ac2","173-014C","מקדח יהלום - 5 יח","173 - 014C","","","true"
"6f26a0b2-7e7a-4b6a-bb0a-602d0a1f67c5","173-016C","מקדח יהלום - 5 יח","173 - 016","","","true"
"a39e9863-4a24-4cf7-bd41-5bd565e27998","173-018C","מקדח יהלום - 5 יח","173 - 018","","","true"
"786c6b19-d4d7-4aa6-8578-9f83546d4a70","174-013C","מקדח יהלום - 5 יח","174 - 013","","","true"
"59125d03-5ac6-4482-82bb-3a23de45a5d3","196-009F","מקדח יהלום - 5 יח","196 - 009 F","","","true"
"e01dac3b-426a-465b-b8df-621ef27baea3","196-026C","מקדח יהלום - 5 יח","196 - 026","","","true"
"cc90464b-e0c3-45b5-b8fa-c8b76d6b30b7","197-012C","מקדח יהלום - 5 יח","197 - 012","","","true"
"4507cf02-9b4b-41bd-9f98-d628af3256b3","197-014C","מקדח יהלום  - 5 יח  C1C","197 - 014","","","true"
"992f8e06-1d56-46f1-a82f-27b9ae5fc95a","197-018SC","מקדח יהלום קצר  - 5 יח  C2S/C","197-018","","","true"
"0485492d-c82c-46e4-b70f-b0ede8d6c3fe","197-023C","מקדח יהלום - 5 יח","197 - 023","","","true"
"18cf769f-ef24-400b-9e74-cfacfcae2d6e","198-012C","מקדח יהלום - 5 יח","198-012C","11 אורך פעיל - 8 מ""מ","","true"
"c0010cf1-c741-4fb8-8168-762a3c1b953f","198-014C","מקדח יהלום - 5 יח","198-014","12 12 12 12 אורך פעיל - 8 מ""מ","","true"
"0752aee6-81ed-4745-95b8-9660a461cc9f","198-016C","מקדח יהלום - 5 יח","198-016","31 31 אורך פעיל - 8 מ""מ","","true"
"0ed0f231-d7b5-45c5-bd52-6633f5f180c6","198-018C","מקדח יהלום - 5 יח","198-018","11 3 11 3 אורך פעיל - 8 מ""מ","","true"
"a77e37af-22bc-4b9e-a5a6-a1781d1c7ba0","198-019XC","מקדח יהלום - 5 יח","198-019XC","2 אורך פעיל - 8 מ""מ","","true"
"06e9d2d1-1eda-41e7-ad6a-2cd52ee6d26e","198-021C","מקדח יהלום - 5 יח","198-021","21 21 21 אורך פעיל - 8 מ""מ","","true"
"f14bc103-91f5-4353-9ae2-a37d0b5ee079","198-025XC","מקדח יהלום - 5 יח  F25RSC","198-025XC","31 אורך פעיל - 8 מ""מ","","true"
"c317f97b-54f1-48e0-92cf-3547c4ae3521","199-010F","מקדח יהלום - 5 יח","199-010","09 09 09 אורך פעיל - 10 מ""מ","","true"
"8896ee5a-cb4c-4cb8-a1cd-8e638c337689","199-012C","מקדח יהלום - 5 יח","199-012","10 06 10 06 10 06 10 06 אורך פעיל - 10 מ""מ","","true"
"14a1c265-f1f8-45af-a881-16a80c2a7033","199-016C","מקדח יהלום - 5 יח  F1RC","199-016","אורך פעיל - 10 מ""מ","","true"
"7b16a286-623d-4816-902c-a0bc854a7bfb","199-018C","מקדח יהלום - 5 יח","199-018","אורך פעיל - 10 מ""מ","","true"
"b69a6039-5d03-4240-96cc-37d7fc04d934","199-019SC","מקדח יהלום Short - יח5   F2RC","199-019","אורך פעיל - 10 מ""מ","","true"
"2ed7a80c-64df-4bf7-a378-f949c84f4087","200-016C","מקדח יהלום - 5 יח","200-016C","אורך פעיל - 11.5 מ""מ","","true"
"3e31f518-99f3-4f1a-94f9-84fa18049794","220-014M","מקדח יהלום - 5 יח","220-014M","4 אורך פעיל - 10 מ""מ","","true"
"870ea3c1-5306-4582-8361-77592ce39720","225-013C","מקדח יהלום - 5 יח  B3C","225-013","3 3 3 אורך פעיל - 3.5 מ""מ","","true"
"7e26ceaf-f0d1-434b-87bc-4b4a14bcdee8","225-016C","מקדח יהלום - 5 יח","225-016C","35 אורך פעיל - 4 מ""מ","","true"
"d3c35100-b00c-471a-b035-436b38c7290c","225-018C","מקדח יהלום - 5 יח  B4C","225-018C","4 אורך פעיל - 4 מ""מ","","true"
"a7939a27-dcdc-455c-8529-bb308baf1281","237-012XF","מקדח יהלום - 5 יח","237-012XF","4","","true"
"8931773d-1b0f-442f-9c5f-723390e48997","249-010C","מקדח יהלום - 5 יח","249-010","52 52 אורך פעיל - 8 מ""מ","","true"
"fe973144-8162-4409-a286-8005679a7629","249-012F","מקדח יהלום - 5 יח","249-012","51 51 51 51 אורך פעיל - 8 מ""מ","","true"
"b4a041a9-ae78-4d21-900c-c34c3fcdd8b1","249-014C","מקדח יהלום - 5 יח   E5C","249-014","5 5 5 5 5 אורך פעיל - 8 מ""מ","","true"
"7125e8c1-3838-4ef4-a89e-b1d656dc2a97","249-016C","מקדח יהלום - 5 יח","249-016C","66 אורך פעיל - 8 מ""מ","","true"
"5a08f231-4f2b-471f-9077-7398c28a54d4","250-010C","מקדח יהלום - 5 יח E53C","250-010","53 53 53 53 אורך פעיל - 10 מ""מ","","true"
"8700aaaa-2a57-4837-9569-fcf0b7152d5d","257-018C","מקדח יהלום - 5 יח","257-018","11 11 11 11 11 אורך פעיל - 4.6 מ""מ","","true"
"64708e5b-458c-4327-b6eb-2c2e7b41645f","257-020C","מקדח יהלום - 5 יח","257-020","אורל פעיל - 4.6 מ""מ","","true"
"72e4331b-a88b-4a0d-9ac8-bb235a01581c","288-010F","מקדח יהלום - 5 יח","288-010F","אורך פעיל - 6 מ""מ","","true"
"6a7086ef-8779-4688-9bb5-bd1d712ea472","288-012C","מקדח יהלום - 5 יח","288-012","10 10 אורך פעיל - 6 מ""מ","","true"
"9de9e3bf-3ae5-469e-b82c-2d16792260fa","289-012C","מקדח יהלום - 5 יח S11C/E73","289-012","11 73 11 73אורך פעיל - 8 מ""מ","","true"
"6a8c8b4a-16d7-45c5-8189-4b376f5c4706","289-014C","מקדח יהלום - 5 יח","289-014","74 74 74 אורך פעיל - 8 מ""מ","","true"
"9b2385b6-e70d-488f-a308-129d76c4033c","290-010C","מקדח יהלום - 5 יח","290-010","אורך פעיל - 9.5 מ""מ","","true"
"2240accb-ba6e-4ef6-9716-bec9ce2f2f80","290-012C","מקדח יהלום - 5 יח","290-012","1 1 1 1 אורך פעיל - 9.5 מ""מ","","true"
"bb5de7a7-7a8a-4c5e-b364-c029ba70ca9c","290-014C","מקדח יהלום - 5 יח","290-014","1410 1410 1410 אורך פעיל - 10 מ""מ","","true"
"145e3118-751c-4611-bc88-0a29ddabe6ea","299-012XC","מקדח יהלום - 5 יח","299-012XC","אורך פעיל - 9.5 מ""מ","","true"
"e1d492b9-f5ad-44c3-9287-9fd7442c5749","299-018C","מקדח יהלום - 5 יח","299-018","6 6 אורך פעיל - 10 מ""מ","","true"
"70744e59-74d2-49e0-a985-a701caa1e259","299-019F","מקדח יהלום - 5 יח","299-019S(Short)","6 מקדח קצראורך פעיל - 10 מ""מ","","true"
"07f822ca-05be-4202-bd2f-f6a86cc5fcc7","508T-016M","מקדח יהלום - 5 יח - להשחזת שיניים בגבול החניכיים בצורה מתכנסת","508T-016M","אורך פעיל - 8 מ""מ","","true"
"704128d7-e45d-4816-9628-19cdf7fb6619","521-019SC","מקדח יהלום - 5 יח","521-019S","מקדח קצראורך פעיל - 10 מ""מ","","true"
"82c43a76-72c6-4c59-8d29-d8aaa52a048b","539-007C","מקדח יהלום - 5 יח","539-007","אורך פעיל - 3 מ""מ","","true"
"2a25b3d9-0a11-463a-bd42-c7341ee30ef7","540-008F","מקדח יהלום - 5 יח","540-008","3 3 אורך פעיל - 3 מ""מ","","true"
"483324b4-df77-4c63-afd5-bba5debef787","540-010C","מקדח יהלום - 5 יח","540-010","42 42 42 42 אורך פעיל - 3 מ""מ","","true"
"a394e52b-2fde-412a-858d-b6227e120b01","697-012C","מקדח יהלום ארוך - 5 יח  A1LC","697-012","1 1 אורך פעיל - 1.2 מ""מ","","true"
"d6873e18-508d-489c-8259-536a13baa79f","697-014C","מקדח יהלום ארוך - 5 יח  A2LC","697-014","2 2 2 2 אורך פעיל - 1.4 מ""מ","","true"
"5f753f64-170b-4e25-beb3-f4431859fa66","697-017C","מקדח יהלום ארוך - 5 יח  A3LC","697-017","3 3 3 אורך פעיל - 1.7 מ""מ","","true"
"885204bb-7bae-41c3-a21f-1dda04cf840d","697-021C","מקדח יהלום ארוך - 5 יח  A4LC","697-021C","אורך פעיל - 2.1 מ""מ","","true"
"9a4f807d-2f5e-4dde-aacb-ffd4143d5adf","697-023C","מקדח יהלום ארוך - 5 יח  A45LC","697-023C","4 אורך פעיל - 2.3 מ""מ","","true"
"2f242ad7-54c8-4058-a5a5-ea539ff3d627","697-032C","מקדח יהלום ארוך - 5 יח  A5LC","697-032C","5 אורך פעיל - 3.2 מ""מ","","true"
"e7bc1998-b3e8-441b-a42c-de5fb6c364e3","FG.TC4","מקדח טונגסטן לטורבינה - 5 יח","FG.TC000004","4אורך פעיל - 1.1 מ""מ","","true"
"d4a2b7e8-f734-472e-9fc0-b2ef98f914d1","FG.TC6","מקדח טונגסטן לטורבינה - 5 יח","FG.TC000006","6אורך פעיל - 1.6 מ""מ","","true"
"df21f4b0-8735-4d40-877e-12d767546d61","FG.TC8","מקדח טונגסטן לטורבינה - 5 יח","FG.TC000008","אורך פעיל - 1.9 מ""מ","","true"
"8dc0a983-3a6c-463f-b682-6acf2ac8e811","FG.TC245","מקדח טונגסטן לטורבינה - 5 יח","FG.TC000245","אורך פעיל - 2.7 מ""מ","","true"
"08977c2b-bb7e-406c-ad71-813e9bf1c571","FG.TC330","מקדח טונגסטן - 5 יח 330","FG.TC000330","אורך פעיל - 1.9 מ""מ","","true"
"696299d7-7bfe-4a89-b2ab-db3e470467dc","FG.TC1156","מקדח טונגסטן לטורבינה - 5 יח","FG.TC001156","אורך פעיל - 3.2 מ""מ","","true"
"f95c2c94-20d0-4f63-a870-9265052e26a2","FG.TC1157","מקדח טונגסטן לטורבינה - 5 יח","FG.TC001157","אורך פעיל - 3.8 מ""מ","","true"
"57d38ab7-bb6e-4547-aa2c-82e70d051db8","FG.TC1557","מקדח טונגסטן לטורבינה - 5 יח","FG.TC001557","","","true"
"16030114-4d6a-45a6-ae2e-4235dd04a1d0","FG.TC1558","מקדח טונגסטן לטורבינה - 5 יח","FG.TC001558","אורך פעיל - 3.8 מ""מ","","true"
